RowNumber,LongestStretch,Genotype
76,4,ColT1EVD95
332,4,ColT1EVD95
117,4,ColT1EVD95
453,4,ColT1EVD95
587,4,ColT1EVD95
617,4,ColT1EVD95
547,4,ColT1EVD95
90,4,ColT1EVD95
530,4,ColT1EVD95
534,4,ColT1EVD95
589,4,ColT1EVD95
568,4,ColT1EVD95
186,4,ColT1EVD95
366,5,ColT1EVD95
514,5,ColT1EVD95
592,5,ColT1EVD95
522,5,ColT1EVD95
301,5,ColT1EVD95
119,5,ColT1EVD95
492,5,ColT1EVD95
361,5,ColT1EVD95
585,5,ColT1EVD95
693,5,ColT1EVD95
694,5,ColT1EVD95
342,5,ColT1EVD95
315,5,ColT1EVD95
19,5,ColT1EVD95
697,5,ColT1EVD95
17,5,ColT1EVD95
320,5,ColT1EVD95
333,5,ColT1EVD95
10,5,ColT1EVD95
160,5,ColT1EVD95
159,5,ColT1EVD95
26,5,ColT1EVD95
664,5,ColT1EVD95
575,5,ColT1EVD95
474,5,ColT1EVD95
78,5,ColT1EVD95
82,5,ColT1EVD95
631,5,ColT1EVD95
235,5,ColT1EVD95
254,5,ColT1EVD95
417,5,ColT1EVD95
260,5,ColT1EVD95
608,5,ColT1EVD95
654,5,ColT1EVD95
469,5,ColT1EVD95
597,5,ColT1EVD95
470,5,ColT1EVD95
48,5,ColT1EVD95
511,6,ColT1EVD95
565,6,ColT1EVD95
427,6,ColT1EVD95
560,6,ColT1EVD95
253,6,ColT1EVD95
36,6,ColT1EVD95
648,6,ColT1EVD95
375,6,ColT1EVD95
454,6,ColT1EVD95
21,6,ColT1EVD95
307,6,ColT1EVD95
142,6,ColT1EVD95
482,6,ColT1EVD95
607,6,ColT1EVD95
677,6,ColT1EVD95
612,6,ColT1EVD95
655,6,ColT1EVD95
290,6,ColT1EVD95
404,6,ColT1EVD95
609,6,ColT1EVD95
462,6,ColT1EVD95
216,6,ColT1EVD95
303,6,ColT1EVD95
373,6,ColT1EVD95
473,7,ColT1EVD95
370,7,ColT1EVD95
377,7,ColT1EVD95
652,7,ColT1EVD95
426,7,ColT1EVD95
644,7,ColT1EVD95
541,7,ColT1EVD95
551,7,ColT1EVD95
424,7,ColT1EVD95
449,7,ColT1EVD95
493,7,ColT1EVD95
398,7,ColT1EVD95
720,7,ColT1EVD95
115,7,ColT1EVD95
39,7,ColT1EVD95
37,7,ColT1EVD95
87,7,ColT1EVD95
95,7,ColT1EVD95
98,7,ColT1EVD95
132,7,ColT1EVD95
154,7,ColT1EVD95
66,7,ColT1EVD95
155,7,ColT1EVD95
317,7,ColT1EVD95
222,7,ColT1EVD95
193,8,ColT1EVD95
638,8,ColT1EVD95
423,8,ColT1EVD95
418,8,ColT1EVD95
369,8,ColT1EVD95
451,8,ColT1EVD95
624,8,ColT1EVD95
223,8,ColT1EVD95
618,8,ColT1EVD95
615,8,ColT1EVD95
121,8,ColT1EVD95
278,8,ColT1EVD95
459,8,ColT1EVD95
265,8,ColT1EVD95
571,8,ColT1EVD95
554,8,ColT1EVD95
168,8,ColT1EVD95
539,8,ColT1EVD95
184,8,ColT1EVD95
202,8,ColT1EVD95
77,8,ColT1EVD95
0,8,ColT1EVD95
647,8,ColT1EVD95
327,8,ColT1EVD95
319,8,ColT1EVD95
318,8,ColT1EVD95
22,8,ColT1EVD95
689,8,ColT1EVD95
27,8,ColT1EVD95
28,8,ColT1EVD95
681,8,ColT1EVD95
432,8,ColT1EVD95
35,8,ColT1EVD95
676,8,ColT1EVD95
305,8,ColT1EVD95
674,8,ColT1EVD95
401,9,ColT1EVD95
403,9,ColT1EVD95
668,9,ColT1EVD95
314,9,ColT1EVD95
696,9,ColT1EVD95
487,9,ColT1EVD95
52,9,ColT1EVD95
614,9,ColT1EVD95
11,9,ColT1EVD95
79,9,ColT1EVD95
9,9,ColT1EVD95
233,9,ColT1EVD95
437,9,ColT1EVD95
421,9,ColT1EVD95
436,9,ColT1EVD95
3,9,ColT1EVD95
178,9,ColT1EVD95
538,9,ColT1EVD95
400,9,ColT1EVD95
540,9,ColT1EVD95
106,9,ColT1EVD95
247,9,ColT1EVD95
30,9,ColT1EVD95
350,9,ColT1EVD95
349,9,ColT1EVD95
304,9,ColT1EVD95
163,9,ColT1EVD95
170,9,ColT1EVD95
73,9,ColT1EVD95
559,9,ColT1EVD95
558,9,ColT1EVD95
685,9,ColT1EVD95
510,10,ColT1EVD95
169,10,ColT1EVD95
601,10,ColT1EVD95
31,10,ColT1EVD95
234,10,ColT1EVD95
708,10,ColT1EVD95
591,10,ColT1EVD95
495,10,ColT1EVD95
567,10,ColT1EVD95
667,10,ColT1EVD95
209,10,ColT1EVD95
564,10,ColT1EVD95
181,10,ColT1EVD95
213,10,ColT1EVD95
182,10,ColT1EVD95
359,10,ColT1EVD95
259,10,ColT1EVD95
392,10,ColT1EVD95
402,10,ColT1EVD95
311,10,ColT1EVD95
313,10,ColT1EVD95
485,11,ColT1EVD95
20,11,ColT1EVD95
472,11,ColT1EVD95
477,11,ColT1EVD95
123,11,ColT1EVD95
543,11,ColT1EVD95
646,11,ColT1EVD95
690,11,ColT1EVD95
194,11,ColT1EVD95
197,11,ColT1EVD95
463,11,ColT1EVD95
680,11,ColT1EVD95
29,11,ColT1EVD95
518,11,ColT1EVD95
557,11,ColT1EVD95
399,11,ColT1EVD95
552,11,ColT1EVD95
663,11,ColT1EVD95
149,11,ColT1EVD95
283,11,ColT1EVD95
545,11,ColT1EVD95
104,11,ColT1EVD95
712,11,ColT1EVD95
89,11,ColT1EVD95
433,11,ColT1EVD95
198,12,ColT1EVD95
555,12,ColT1EVD95
478,12,ColT1EVD95
84,12,ColT1EVD95
208,12,ColT1EVD95
185,12,ColT1EVD95
610,12,ColT1EVD95
45,12,ColT1EVD95
126,12,ColT1EVD95
199,12,ColT1EVD95
653,12,ColT1EVD95
103,12,ColT1EVD95
364,12,ColT1EVD95
561,12,ColT1EVD95
136,12,ColT1EVD95
410,12,ColT1EVD95
717,12,ColT1EVD95
220,12,ColT1EVD95
219,12,ColT1EVD95
716,12,ColT1EVD95
83,12,ColT1EVD95
153,12,ColT1EVD95
416,12,ColT1EVD95
281,12,ColT1EVD95
249,12,ColT1EVD95
599,12,ColT1EVD95
272,12,ColT1EVD95
431,12,ColT1EVD95
188,13,ColT1EVD95
49,13,ColT1EVD95
635,13,ColT1EVD95
275,13,ColT1EVD95
504,13,ColT1EVD95
64,13,ColT1EVD95
572,13,ColT1EVD95
65,13,ColT1EVD95
446,13,ColT1EVD95
271,13,ColT1EVD95
172,13,ColT1EVD95
396,13,ColT1EVD95
109,13,ColT1EVD95
282,13,ColT1EVD95
695,13,ColT1EVD95
465,13,ColT1EVD95
287,13,ColT1EVD95
167,13,ColT1EVD95
419,13,ColT1EVD95
91,13,ColT1EVD95
166,13,ColT1EVD95
245,13,ColT1EVD95
328,13,ColT1EVD95
488,13,ColT1EVD95
692,13,ColT1EVD95
532,13,ColT1EVD95
388,13,ColT1EVD95
390,14,ColT1EVD95
190,14,ColT1EVD95
92,14,ColT1EVD95
105,14,ColT1EVD95
513,14,ColT1EVD95
232,14,ColT1EVD95
108,14,ColT1EVD95
600,14,ColT1EVD95
468,14,ColT1EVD95
212,14,ColT1EVD95
210,14,ColT1EVD95
476,14,ColT1EVD95
8,14,ColT1EVD95
480,14,ColT1EVD95
675,14,ColT1EVD95
58,14,ColT1EVD95
23,14,ColT1EVD95
630,15,ColT1EVD95
509,15,ColT1EVD95
508,15,ColT1EVD95
563,15,ColT1EVD95
86,15,ColT1EVD95
380,15,ColT1EVD95
475,15,ColT1EVD95
5,15,ColT1EVD95
525,15,ColT1EVD95
74,15,ColT1EVD95
40,15,ColT1EVD95
481,15,ColT1EVD95
483,15,ColT1EVD95
203,15,ColT1EVD95
634,16,ColT1EVD95
629,16,ColT1EVD95
527,16,ColT1EVD95
430,16,ColT1EVD95
195,16,ColT1EVD95
406,16,ColT1EVD95
673,16,ColT1EVD95
270,16,ColT1EVD95
25,16,ColT1EVD95
467,17,ColT1EVD95
316,17,ColT1EVD95
502,17,ColT1EVD95
264,17,ColT1EVD95
566,17,ColT1EVD95
659,17,ColT1EVD95
13,17,ColT1EVD95
331,17,ColT1EVD95
